序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
117,021500,景顺长城优质成长股票C,2026-05-07,4.248,4.248,2.96,6.17,31.11,37.43,58.15,183.96,,,43.17,239.57,182.2591,0.00%
118,002771,安信新回报混合C,2026-05-07,6.597,6.647,3.79,7.26,40.69,47.0,46.37,183.73,203.83,184.66,43.7,590.19,187.6014,0.00%
119,010392,易方达战略新兴产业股票C,2026-05-07,2.3317,2.4017,3.3,5.74,36.06,45.87,47.76,183.65,259.28,209.41,44.06,142.55,182.7574,0.00%
120,009242,中加核心智造混合A,2026-05-07,3.3736,3.4336,3.33,5.51,30.01,49.39,57.81,183.4,175.44,153.71,54.23,253.94,184.5239,0.15%
121,017102,大摩数字经济混合A,2026-05-07,3.8076,3.8076,3.72,6.58,39.37,48.18,61.67,183.26,279.02,270.93,48.92,280.76,180.2178,0.15%
122,013370,汇添富自主核心科技一年持有混合C,2026-05-07,2.5449,2.5449,4.75,6.77,33.47,44.79,46.17,182.86,241.73,174.62,40.5,154.49,181.796,0.00%
123,009243,中加核心智造混合C,2026-05-07,3.2925,3.3525,3.32,5.5,29.96,49.24,57.49,182.23,173.35,150.74,54.01,245.61,183.3721,0.00%
124,257070,国联安优选行业混合,2026-05-07,5.6292,5.9302,2.19,4.53,35.42,44.11,46.03,181.85,171.39,111.94,38.53,593.59,181.6853,0.15%
125,008009,华商高端装备制造股票A,2026-05-07,5.8403,5.8403,1.19,4.38,26.53,38.89,60.78,181.85,211.47,175.15,50.85,484.03,179.2932,0.15%
126,000017,财通可持续混合,2026-05-07,3.298,5.117,3.13,4.67,38.05,45.29,51.35,181.71,180.28,163.1,40.04,783.76,178.8604,0.15%
127,017103,大摩数字经济混合C,2026-05-07,3.736,3.736,3.72,6.57,39.3,47.97,61.19,181.56,274.5,264.35,48.61,273.6,178.5565,0.00%
128,016050,华商高端装备制造股票C,2026-05-07,5.7025,5.7025,1.19,4.35,26.45,38.61,60.22,180.04,207.63,169.99,50.46,138.75,177.5074,0.00%
129,010237,安信创新先锋混合发起A,2026-05-07,1.6901,1.6901,4.64,7.01,34.22,47.04,51.23,178.94,235.67,159.3,40.19,69.01,178.8944,0.15%
130,540010,汇丰晋信科技先锋股票,2026-05-07,5.27,5.27,5.92,7.78,26.6,37.38,57.86,178.66,212.0,135.0,44.06,427.0,174.165,0.15%
131,006430,凯石澜龙头经济一年持有混合,2026-05-07,1.7235,2.4435,3.01,5.07,24.67,27.88,34.8,178.61,191.03,140.91,27.7,207.43,179.0189,0.15%
132,001877,宝盈国家安全沪港深股票A,2026-05-07,3.7333,3.7333,5.06,8.61,37.34,41.6,88.35,178.25,212.36,204.49,53.07,273.33,176.1112,0.15%
133,010238,安信创新先锋混合发起C,2026-05-07,1.6449,1.6449,4.64,6.99,34.16,46.85,50.85,177.76,232.5,155.58,39.94,64.49,177.7609,0.00%
134,012920,易方达全球成长精选混合(QDII)人民币A,2026-05-06,3.8402,3.8402,5.82,8.09,31.95,41.43,54.84,177.69,249.97,313.1,53.26,284.02,,0.15%
135,011144,华安汇宏精选混合A,2026-05-07,2.8994,2.8994,4.58,11.02,37.49,31.38,38.59,177.61,255.58,216.22,51.57,189.94,179.4872,0.15%
136,005914,景顺长城智能生活混合A,2026-05-07,5.1593,5.1593,5.33,8.19,31.14,40.76,46.78,177.56,238.56,189.83,38.75,415.93,178.4446,0.15%
137,006081,海富通电子传媒股票A,2026-05-07,5.471,5.471,4.14,6.84,37.79,42.7,45.11,177.49,187.0,89.93,40.73,447.1,177.1389,0.15%
138,013613,宝盈国家安全沪港深股票C,2026-05-07,3.6339,3.6339,5.06,8.6,37.28,41.39,87.8,176.76,208.72,199.09,52.75,110.93,174.6089,0.00%
139,014611,富国核心科技12个月持有混合A,2026-05-07,2.6501,2.6501,4.23,6.9,30.66,43.96,56.56,176.66,207.79,173.01,45.18,165.01,177.7009,0.15%
140,012922,易方达全球成长精选混合(QDII)人民币C,2026-05-06,3.7693,3.7693,5.82,8.08,31.89,41.26,54.45,176.36,246.73,307.8,52.99,276.93,,0.00%
141,011145,华安汇宏精选混合C,2026-05-07,2.8119,2.8119,4.57,11.0,37.42,31.19,38.18,175.95,251.36,210.57,51.24,181.19,177.8283,0.00%
142,023265,景顺长城智能生活混合C,2026-05-07,5.1195,5.1195,5.33,8.18,31.07,40.52,46.32,175.86,,,38.43,149.9,176.7447,0.00%
143,018358,华富数字经济混合A,2026-05-07,2.6951,2.6951,3.27,6.3,31.56,45.93,83.03,175.46,239.43,,64.83,169.51,174.2546,0.15%
144,006080,海富通电子传媒股票C,2026-05-07,5.1126,5.1126,4.14,6.82,37.7,42.42,44.54,175.27,182.48,85.44,40.36,411.26,174.9301,0.00%
145,010622,恒越成长精选混合A,2026-05-07,1.3975,1.3975,3.45,7.59,33.71,37.06,66.21,175.04,158.37,88.9,58.46,39.75,168.5434,0.15%
146,014612,富国核心科技12个月持有混合C,2026-05-07,2.5825,2.5825,4.23,6.89,30.59,43.74,56.08,174.97,204.07,168.06,44.86,158.25,176.0261,0.00%
147,018359,华富数字经济混合C,2026-05-07,2.6643,2.6643,3.27,6.3,31.52,45.78,82.67,174.36,236.74,,64.61,166.43,173.1775,0.00%
148,110029,易方达科讯混合,2026-05-07,3.8649,14.979,2.23,4.35,23.56,32.52,31.12,174.35,211.42,194.16,28.35,489.19,171.2918,0.15%
149,010623,恒越成长精选混合C,2026-05-07,1.3757,1.3757,3.44,7.59,33.68,36.97,65.97,174.26,156.8,87.2,58.31,37.57,167.7501,0.00%
150,006533,易方达科融混合,2026-05-07,8.1487,8.1487,2.22,4.38,24.2,31.95,30.37,172.92,225.12,217.08,27.91,714.87,170.2182,0.15%
151,002125,广发新兴成长混合A,2026-05-07,2.6381,2.6381,5.36,8.31,31.75,54.58,78.35,172.62,159.91,122.81,54.46,163.81,173.0105,0.15%
152,000354,长盛城镇化主题混合A,2026-05-07,4.4928,5.1408,6.11,8.25,36.52,50.06,61.43,172.11,300.5,193.26,47.7,584.24,172.8366,0.15%
153,018291,广发新兴成长混合C,2026-05-07,2.5869,2.5869,5.35,8.3,31.7,54.4,77.9,171.33,157.4,118.3,54.18,112.74,171.7332,0.00%
154,009891,融通产业趋势臻选股票A,2026-05-07,3.1736,3.1736,4.71,7.46,39.19,48.16,55.24,171.09,236.04,204.89,43.65,217.36,171.6658,0.15%
155,005482,博时创新驱动混合A,2026-05-07,1.7419,1.7419,3.78,6.06,33.03,39.01,46.03,170.78,144.07,76.43,42.05,74.19,169.1024,0.15%
156,018933,长盛城镇化主题混合C,2026-05-07,4.4186,4.4186,6.11,8.24,36.46,49.84,60.96,170.48,295.72,,47.39,194.69,171.2129,0.00%
157,006751,富国互联科技股票A,2026-05-07,5.9765,5.9765,3.68,6.91,30.69,43.71,53.22,170.43,185.42,159.66,44.13,497.65,171.5727,0.15%
158,005550,汇安成长优选混合A,2026-05-07,3.3296,3.3296,2.57,3.82,24.31,26.36,40.37,169.93,295.53,170.66,34.45,232.96,171.118,0.15%
159,012696,同泰数字经济股票A,2026-05-07,1.6615,1.6615,2.75,6.26,33.08,30.64,40.46,169.86,213.61,139.1,40.27,66.15,168.2868,0.15%
160,016873,广发远见智选混合A,2026-05-07,2.0939,2.0939,5.1,11.44,30.78,60.92,105.32,169.69,194.79,126.2,111.23,109.39,170.7046,0.15%
161,018495,融通产业趋势臻选股票C,2026-05-07,3.0797,3.0797,4.71,7.44,39.11,47.96,54.8,169.51,228.05,,43.36,192.55,170.078,0.00%
162,011126,富国互联科技股票C,2026-05-07,5.7904,5.7904,3.68,6.9,30.62,43.48,52.75,168.8,182.07,155.06,43.81,126.05,169.9235,0.00%
163,012697,同泰数字经济股票C,2026-05-07,1.6301,1.6301,2.75,6.26,33.04,30.52,40.19,168.77,211.15,136.28,40.08,63.01,167.2295,0.00%
164,005483,博时创新驱动混合C,2026-05-07,1.6294,1.6294,3.78,6.04,32.95,38.73,45.46,168.66,140.18,72.24,41.65,62.94,166.9397,0.00%
